Time,Demand,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,cloud_cover,hour,dow,month,doy,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,is_holiday,demand_lag_24,demand_lag_48,demand_lag_72,demand_lag_168,demand_roll24_mean,demand_roll24_std,demand_roll168_mean,demand_roll168_std,temperature_2m_lag_24,relative_humidity_2m_lag_24,precipitation_lag_24,temp_squared,temp_hour_sin,temp_hour_cos,humidex_proxy,trend_ratio,lag24_over_lag168
2026-06-13 08:00:00,398.5958621,24.5,99,6.7,8.7,93,8,5,6,164,1,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,358.1503448,390.4477586,407.0898276,392.8993103,396.2088948125,28.851065298108406,430.32685915863095,42.80616356466817,27.1,90.0,0.2,600.25,21.21762239271875,-12.249999999999995,34.4,0.9207161634929366,0.9115575808125821
2026-06-13 09:00:00,415.65,26.6,91,0.8,5.3,31,9,5,6,164,1,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,406.682931,408.2494828,409.3887931,409.4701724,397.89412469999996,27.68920341500998,430.3607672050596,42.77858587185817,28.2,84.0,0.0,707.5600000000001,18.809040379562166,-18.809040379562163,35.7,0.9245594743314746,0.9931930538831111
2026-06-13 10:00:00,436.5694828,28.9,81,0.0,8.5,5,10,5,6,164,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,365.8207018,431.9835088,425.0441379,435.0991228,398.267752575,27.872842725635383,430.39755189315474,42.76316897935128,29.5,81.0,0.1,835.2099999999999,14.449999999999998,-25.028134169370276,37.0,0.9253485546634083,0.8407755443077626
2026-06-13 11:00:00,475.3467241,30.8,75,0.0,7.3,13,11,5,6,164,1,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,376.1508772,439.5189474,447.2098276,464.5577193,401.21561845,28.032781147612887,430.40630403601193,42.76428744171969,30.5,76.0,0.1,948.6400000000001,7.971626589157648,-29.7505154497033,38.3,0.9321787684978482,0.8096967536494448
2026-06-13 12:00:00,505.3553448,32.5,68,0.0,5.1,29,12,5,6,164,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,414.5940351,464.4231579,475.835,477.2685965,405.3487787375,31.29900267189963,430.4705243026786,42.82394009403898,31.6,72.0,0.1,1056.25,3.980102097228898e-15,-32.5,39.3,0.9416411945838257,0.8686807347903939
2026-06-13 13:00:00,533.7668966,31.4,68,0.5,10.9,67,13,5,6,164,1,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,424.3859649,482.2473684,485.4174138,485.9492857,409.130499975,37.36077842723551,430.63770732827385,43.06189566268408,32.0,69.0,0.1,985.9599999999999,-8.126918016219152,-30.330070945476745,38.2,0.9500573057415083,0.8733132806002187
2026-06-13 14:00:00,509.3124138,32.0,68,0.5,7.7,45,14,5,6,164,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,390.3729825,459.4857895,467.992069,444.8709259,413.6880387958333,45.16011750425205,430.9223359645833,43.58454060466301,32.2,68.0,0.1,1024.0,-15.999999999999991,-27.712812921102042,38.8,0.9600060249135787,0.877497179008164
2026-06-13 15:00:00,507.1151724,32.5,66,0.0,7.2,37,15,5,6,164,1,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,378.6430357,429.2094737,453.292931,431.0605556,418.6438484333333,48.864506974985794,431.3059162497023,43.989720946221404,32.2,69.0,0.1,1056.25,-22.98097038856278,-22.980970388562806,39.1,0.9706424898446364,0.878398709371496
2026-06-13 16:00:00,501.3447368,31.8,70,0.5,7.8,43,16,5,6,164,1,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,374.87125,402.6491228,428.2891379,418.6814815,423.99685412916665,51.26971265829273,431.7586223020834,44.376823359795914,31.9,71.0,0.0,1011.24,-27.53960784034514,-15.900000000000015,38.8,0.9820228994350316,0.895361430023028
2026-06-13 17:00:00,457.7054386,31.8,71,0.1,8.3,43,17,5,6,164,1,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,365.72625,380.8294737,409.69905170000004,413.5572222,429.2665827458334,52.486150574692864,432.2506654883929,44.68814436607056,29.0,84.0,0.7,1011.24,-30.716441275992374,-8.230445634260157,38.9,0.9930964068286908,0.8843425537449119
2026-06-13 18:00:00,439.5707018,31.2,73,0.1,6.9,72,18,5,6,164,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,351.56625,375.7885965,391.1089655,392.492037,433.09904893749996,50.981324609512164,432.51345249077383,44.70736187043622,30.1,80.0,0.1,973.4399999999999,-31.2,-5.731347020009612e-15,38.5,1.0013539381107195,0.8957283635285574
2026-06-13 19:00:00,448.7622807,30.0,82,0.1,8.1,84,19,5,6,164,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,399.6784211,402.6594737,414.3427586,418.4957407,436.76590109583327,47.93599955638035,432.79368263839285,44.60242525245244,28.8,89.0,0.0,900.0,-28.977774788672054,7.764571353075609,38.2,1.009178087889881,0.9550358157324969
2026-06-13 20:00:00,476.1507018,29.4,84,0.0,8.1,98,20,5,6,164,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,431.9317544,426.7252632,433.18795825,442.9588889,438.8110619125,47.32810030019151,432.9738406145833,44.60545338257644,28.5,90.0,0.0,864.3599999999999,-25.461146871262493,14.700000000000003,37.8,1.01348169508262,0.9751057383059099
2026-06-13 21:00:00,466.8691071,29.0,87,0.0,5.1,99,21,5,6,164,1,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.3204232733919116,-0.9472744722987168,0,445.5143636,425.4210526,452.0331579,448.5201852,440.6535180541666,47.905832066867916,433.17141092946423,44.723297199526286,28.2,91.0,0.0,841.0,-20.506096654409884,20.506096654409873,37.7,1.0172728553545303,0.9932983582474451
