Time,Demand,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,cloud_cover,hour,dow,month,doy,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,is_holiday,demand_lag_24,demand_lag_48,demand_lag_72,demand_lag_168,demand_roll24_mean,demand_roll24_std,demand_roll168_mean,demand_roll168_std,temperature_2m_lag_24,relative_humidity_2m_lag_24,precipitation_lag_24,temp_squared,temp_hour_sin,temp_hour_cos,humidex_proxy
2026-06-06 08:00:00,392.8993103,28.6,76,0.0,8.0,70,8,5,6,157,1,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.43167285247378384,-0.9020302369860707,0,381.0484483,403.387069,407.218,276.1832143,424.41163760833336,52.295060661225534,411.25617980208335,58.62166085067235,28.8,87.0,0.0,817.96,24.76832654823495,-14.299999999999994,36.2
2026-06-06 09:00:00,409.4701724,30.0,74,0.0,5.4,52,9,5,6,157,1,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.43167285247378384,-0.9020302369860707,0,384.7410345,416.7943103,412.4296667,280.9032143,424.90542352500006,51.92243223709016,411.95091846874993,57.69559467259734,30.2,79.0,0.0,900.0,21.213203435596427,-21.213203435596423,37.4
2026-06-06 10:00:00,435.0991228,31.2,72,0.0,5.6,6,10,5,6,157,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.43167285247378384,-0.9020302369860707,0,382.4235088,462.7180357,430.87,283.9480357,425.93580427083333,51.332752787270195,412.71619798125005,56.7925523458386,31.9,71.0,0.0,973.4399999999999,15.599999999999998,-27.019992598074488,38.4
2026-06-06 11:00:00,464.5577193,32.7,69,0.0,6.2,2,11,5,6,157,1,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.43167285247378384,-0.9020302369860707,0,393.1987719,491.5901852,454.8373214,300.2994643,428.1306215208333,50.51096217809116,413.61590683303575,55.93112542035907,32.6,71.0,0.0,1069.2900000000002,8.463382774852438,-31.58577451965253,39.6
2026-06-06 12:00:00,477.2685965,33.2,64,0.0,4.6,26,12,5,6,157,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.43167285247378384,-0.9020302369860707,0,423.0194643,514.4354717,495.2207143,317.4621429,431.10391099583336,50.465548485652945,414.59363454136906,55.37127891680662,32.6,73.0,0.0,1102.2400000000002,4.065827373169213e-15,-33.2,39.6
2026-06-06 13:00:00,485.9492857,33.8,60,0.0,4.4,64,13,5,6,157,1,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.43167285247378384,-0.9020302369860707,0,439.9819643,547.809434,522.6451786,339.76625,433.36429150416666,51.295792970697285,415.54486343184516,55.06447097764042,33.0,72.0,0.2,1142.4399999999998,-8.748083724465202,-32.648292928570505,39.8
2026-06-06 14:00:00,444.8709259,34.0,58,0.0,4.0,91,14,5,6,157,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.43167285247378384,-0.9020302369860707,0,422.1555357,532.4113725,505.1664286,337.5116071,435.2795965625,52.39992085850226,416.4150005491071,55.014816247787685,30.7,77.0,0.9,1156.0,-16.99999999999999,-29.44486372867092,39.8
2026-06-06 15:00:00,431.0605556,34.2,56,0.1,4.9,100,15,5,6,157,1,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.43167285247378384,-0.9020302369860707,0,438.8790196,521.678,487.6771429,332.4017857,436.2260711541667,52.35769214810894,417.0540441133929,54.71551893398476,29.6,83.0,3.6,1169.64,-24.183051916579913,-24.18305191657994,39.800000000000004
2026-06-06 16:00:00,418.6814815,33.5,58,0.1,5.4,100,16,5,6,157,1,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.43167285247378384,-0.9020302369860707,0,430.6652941,489.5283636,480.7025,321.8133929,435.90030182083336,52.36479057801712,417.641298696131,54.3296016475184,29.7,83.0,0.5,1122.25,-29.011851026778686,-16.750000000000014,39.3
2026-06-06 17:00:00,413.5572222,33.3,60,0.0,5.3,84,17,5,6,157,1,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.43167285247378384,-0.9020302369860707,0,405.0407843,458.1725455,435.2198214,312.9317857,435.40097629583335,52.47390173936848,418.21789446160716,53.81811675777466,29.8,84.0,0.5,1108.8899999999999,-32.16533001542597,-8.618674201913937,39.3
