Time,Demand
2026-01-01 12:00:00 AM,244.0914286
2026-01-01 01:00:00 AM,237.5803571
2026-01-01 02:00:00 AM,227.8032143
2026-01-01 03:00:00 AM,223.2728571
2026-01-01 04:00:00 AM,221.02875
2026-01-01 05:00:00 AM,217.9628571
2026-01-01 06:00:00 AM,226.78125
2026-01-01 07:00:00 AM,251.0766071
2026-01-01 08:00:00 AM,276.8785714
2026-01-01 09:00:00 AM,280.7157895
2026-01-01 10:00:00 AM,298.6124561
2026-01-01 11:00:00 AM,308.4354386
2026-01-01 12:00:00 PM,323.1336842
2026-01-01 01:00:00 PM,336.1654386
2026-01-01 02:00:00 PM,317.6063158
2026-01-01 03:00:00 PM,294.0580702
2026-01-01 04:00:00 PM,286.5503571
2026-01-01 05:00:00 PM,276.0883929
2026-01-01 06:00:00 PM,298.90875
2026-01-01 07:00:00 PM,298.0975
2026-01-01 08:00:00 PM,293.2616071
2026-01-01 09:00:00 PM,297.1071429
2026-01-01 10:00:00 PM,290.6812
2026-01-01 11:00:00 PM,282.9758
2026-01-02 12:00:00 AM,250.4866071
2026-01-02 01:00:00 AM,240.3407143
2026-01-02 02:00:00 AM,232.7023214
2026-01-02 03:00:00 AM,227.5503571
2026-01-02 04:00:00 AM,222.8408929
2026-01-02 05:00:00 AM,219.6275
2026-01-02 06:00:00 AM,222.94625
2026-01-02 07:00:00 AM,228.9410714
2026-01-02 08:00:00 AM,280.9242857
2026-01-02 09:00:00 AM,247.1685965
2026-01-02 10:00:00 AM,253.4308772
2026-01-02 11:00:00 AM,257.3952632
2026-01-02 12:00:00 PM,276.2959649
2026-01-02 01:00:00 PM,296.687193
2026-01-02 02:00:00 PM,261.0905263
2026-01-02 03:00:00 PM,228.6453448
2026-01-02 04:00:00 PM,227.232807
2026-01-02 05:00:00 PM,235.8240351
2026-01-02 06:00:00 PM,254.7764912
2026-01-02 07:00:00 PM,258.4303509
2026-01-02 08:00:00 PM,259.01
2026-01-02 09:00:00 PM,262.4982456
2026-01-02 10:00:00 PM,260.6180392
2026-01-02 11:00:00 PM,257.7258824
2026-01-03 12:00:00 AM,236.507193
2026-01-03 01:00:00 AM,227.7192982
2026-01-03 02:00:00 AM,220.4426316
2026-01-03 03:00:00 AM,215.1533333
2026-01-03 04:00:00 AM,210.8991228
2026-01-03 05:00:00 AM,210.0089474
2026-01-03 06:00:00 AM,214.5115789
2026-01-03 07:00:00 AM,233.9194737
2026-01-03 08:00:00 AM,251.422807
2026-01-03 09:00:00 AM,291.4389286
2026-01-03 10:00:00 AM,296.7378182
2026-01-03 11:00:00 AM,309.6427273
2026-01-03 12:00:00 PM,327.804
2026-01-03 01:00:00 PM,350.1439286
2026-01-03 02:00:00 PM,316.1978571
2026-01-03 03:00:00 PM,311.7939286
2026-01-03 04:00:00 PM,316.0640351
2026-01-03 05:00:00 PM,284.4214035
2026-01-03 06:00:00 PM,296.2835088
2026-01-03 07:00:00 PM,298.3950877
2026-01-03 08:00:00 PM,296.7078947
2026-01-03 09:00:00 PM,297.9707018
2026-01-03 10:00:00 PM,275.2298246
2026-01-03 11:00:00 PM,262.6553571
2026-01-04 12:00:00 AM,249.9972414
2026-01-04 01:00:00 AM,241.482931
2026-01-04 02:00:00 AM,215.5941379
2026-01-04 03:00:00 AM,225.9903448
2026-01-04 04:00:00 AM,221.6467241
2026-01-04 05:00:00 AM,217.0386207
2026-01-04 06:00:00 AM,223.3658621
2026-01-04 07:00:00 AM,248.5731034
2026-01-04 08:00:00 AM,270.5048276
